release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release,log_price
2003-12-20,Nike,Air Zoom Generation 'Debut' 2003,men,3,White,Leather,Air,39,0,417.0,7805,6.0330862217988015
2003-08-23,Air Jordan,Air Jordan 8 Retro Low 'Playoff' 2003,men,4,Black,Durabuck,Air,39,0,381.0,7924,5.942799375126701
2003-03-01,Nike,Dunk Low Pro SB 'Futura',men,2,Black,Unknown,Zoom Air,39,1,6558.0,8099,8.788440957404594
2003-08-08,Nike,Supreme x Dunk High Pro SB 'Red',men,3,White,Unknown,Zoom Air,39,1,5955.0,7939,8.691986481789401
2004-09-25,Air Jordan,Air Jordan 4 Retro 'Cool Grey' 2004,men,7,Grey,Nubuck,Air,39,0,575.0,7525,6.354370040797351
2004-07-24,Air Jordan,Air Jordan 4 Retro 'Classic Green' 2004,men,4,White,Leather,Air,39,0,1137.0,7588,7.036148493750536
2004-05-01,Nike,Dunk Low Pro SB 'Jedi',men,3,Tan,Unknown,Zoom Air,39,0,2638.0,7672,7.87777633327726
2004-04-20,Nike,Dunk Low Pro SB 'Blue Hemp',men,4,Gold,Unknown,Zoom Air,39,0,1913.0,7683,7.556427969440253
2004-01-01,Nike,Dunk Low Pro SB 'Homer',men,4,White,Unknown,Zoom Air,39,0,5887.0,7793,8.68050180902826
2004-05-15,Air Jordan,Air Jordan 12 Retro 'Melo' 2004,men,5,White,Leather,Zoom Air,39,0,547.0,7658,6.304448802421981
2004-02-14,Air Jordan,Air Jordan 12 Retro 'Playoff' 2004,men,4,Black,Unknown,Air,39,0,235.0,7749,5.459585514144159
2004-08-21,Air Jordan,Air Jordan 7 Retro 'Olympic' 2004,men,5,White,Leather,Air,39,0,364.0,7560,5.8971538676367405
2004-01-01,Nike,Dunk Low Pro SB 'Tokyo',men,2,Tan,Canvas,Zoom Air,39,0,17677.0,7793,9.780019638535883
2004-01-10,Air Jordan,Air Jordan 12 Retro 'French Blue' 2004,men,5,White,Unknown,Air,39,0,525.0,7784,6.263398262591624
2004-05-08,Air Jordan,Air Jordan 19 OG 'Bred',men,4,Black,Leather,Zoom Air,39,0,1201.0,7665,7.0909098220799835
2004-03-01,Nike,Dunk Hi SB Pro 'Flom',men,4,Multi-Color,Canvas,Zoom Air,39,0,101871.0,7733,11.53146258596864
2004-07-10,Air Jordan,Air Jordan 19 OG 'East Coast',men,5,White,Leather,Zoom Air,39,0,417.0,7602,6.0330862217988015
2004-07-10,Air Jordan,Air Jordan 19 OG 'Midwest',men,5,White,Leather,Zoom Air,39,0,167.0,7602,5.117993812416755
2004-12-21,Air Jordan,Air Jordan 13 Retro 'Bred' 2004,men,4,Black,Mesh,Zoom Air,39,0,547.0,7438,6.304448802421981
2004-11-13,Air Jordan,Air Jordan 19 OG SE 'Black Metallic Gold',men,3,Black,Leather,Zoom Air,39,0,243.0,7476,5.493061443340548
2004-08-01,Nike,Air Zoom Huarache 2K4,men,3,White,Unknown,Basic,39,0,835.0,7580,6.727431724850855
2004-11-06,Nike,Zoom LeBron 2 'Black Crimson',men,4,Black,Unknown,Air,39,0,486.0,7483,6.186208623900494
2004-02-14,Air Jordan,Wmns Air Jordan 12 Retro 'UNC',women,4,White,Unknown,Air,38,0,941.0,7749,6.846943139585379
2004-10-23,Air Jordan,Air Jordan 13 Retro 'Wheat' 2004,men,2,Tan,Leather,Zoom Air,39,0,292.0,7497,5.676753802268282
2004-05-15,Air Jordan,Air Jordan 12 Retro Low 'Obsidian' 2004,men,3,Blue,Unknown,Air,39,0,207.0,7658,5.332718793265369
2004-08-07,Air Jordan,Air Jordan 19 OG Low 'Black Cement',men,5,Black,Suede,Zoom Air,39,0,585.0,7574,6.371611847231857
2005-08-20,Air Jordan,Air Jordan 4 Retro Rare Air 'Black Laser',men,5,Black,Leather,Air,39,0,1194.0,7196,7.085064293952548
2005-05-14,Air Jordan,Air Jordan 4 Retro 'White Laser',men,4,White,Leather,Air,39,0,809.0,7294,6.695798917058491
2005-02-02,Nike,Dunk Low Premium SB 'Hawaii',men,4,Black,Unknown,Zoom Air,39,0,942.0,7395,6.848005274576363
2005-04-18,Air Jordan,Air Jordan 13 Retro 'Flint' 2005,men,6,Blue,Mesh,Zoom Air,39,0,482.0,7320,6.1779441140506
